path	reason	category	size_bytes	git_tracked	protected	blocked	deletion_mode	backup_tag
node_modules/.pnpm/playwright@1.61.0/node_modules/playwright/lib/agents/playwright-test-plan.prompt.md	prompt filename pattern owner-approved deletion	prompt-filename	196	no	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/ADAPT_SCREENCAST_AUTOMATION_FROM_PPWR_REFERENCE_ENGINE_MIX.md	prompt path under prompts/	prompt-path	16397	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/ALPHAVEST_MVP_MINIMUM_PATH_CODEX_PROMPT_PACK.md	prompt path under prompts/	prompt-path	33027	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/ALPHAVEST_MVP_READINESS_VERDICT_PROMPT_ENGINE_PROOF.md	prompt path under prompts/	prompt-path	9293	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/CREATE_SCREENCAST_AUTOMATION_FROM_JOURNEYS_ENGINE_MIX.md	prompt path under prompts/	prompt-path	10497	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/PROJECT_DEFINITION_WORKFLOW_GAP_ANALYSIS_ENGINE_MIX.md	prompt path under prompts/	prompt-path	17291	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/STATEFUL_SCREENCAST_PROVISIONING_ENGINE_MIX.md	prompt path under prompts/	prompt-path	9731	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/USER_MANUAL_COLLABORATIVE_WORKFLOW_NARRATIVE_ENGINE_MIX.md	prompt path under prompts/	prompt-path	13162	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/USER_MANUAL_COLLABORATIVE_WORKFLOW_PDF_PRODUCTION_ENGINE_MIX.md	prompt path under prompts/	prompt-path	16446	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/USER_MANUAL_CONTEXTUAL_EXPLANATION_ENGINE_MIX.md	prompt path under prompts/	prompt-path	20555	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/USER_MANUAL_CONTEXTUAL_PDF_PRODUCTION_ENGINE_MIX.md	prompt path under prompts/	prompt-path	14572	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/USER_MANUAL_PDF_PRODUCTION_ENGINE_MIX.md	prompt path under prompts/	prompt-path	13315	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/USER_MANUAL_RAW_ARTIFACT_EXTRACTION_ENGINE_MIX.md	prompt path under prompts/	prompt-path	20752	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/USER_MANUAL_STATE_OF_ART_GENERATION_ENGINE_MIX.md	prompt path under prompts/	prompt-path	18331	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/USER_MANUAL_VISUAL_PROCESS_EXPLANATION_ENGINE_MIX.md	prompt path under prompts/	prompt-path	15765	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/USER_MANUAL_VISUAL_PROCESS_PDF_PRODUCTION_ENGINE_MIX.md	prompt path under prompts/	prompt-path	18475	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/UX_PAGE_TO_POLICY_SEQUENTIAL_EXECUTION_ENGINE_MIX.md	prompt path under prompts/	prompt-path	12855	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/phases/PHASE_00_Repository_and_Project_Setup.md	prompt path under prompts/	prompt-path	1505	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/phases/PHASE_01_Next_js_React_Tailwind_Foundation.md	prompt path under prompts/	prompt-path	1499	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/phases/PHASE_02_Docker_Compose_PostgreSQL_Prisma.md	prompt path under prompts/	prompt-path	1469	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/phases/PHASE_03_Data_Model_and_Demo_Seed_System.md	prompt path under prompts/	prompt-path	1488	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/phases/PHASE_04_Demo_Session_Role_Tenant_Switcher_and_Service_Stubs.md	prompt path under prompts/	prompt-path	1495	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/phases/PHASE_05_Route_Skeleton_for_All_63_Pages.md	prompt path under prompts/	prompt-path	1488	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/phases/PHASE_06_Shared_UI_Component_Library.md	prompt path under prompts/	prompt-path	1474	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/phases/PHASE_07_Auth_and_Onboarding_UI_Pages.md	prompt path under prompts/	prompt-path	2446	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/phases/PHASE_08_Admin_Platform_and_Tenant_Setup_Pages.md	prompt path under prompts/	prompt-path	3335	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/phases/PHASE_09_Client_Family_Entity_and_Document_Intake_Pages.md	prompt path under prompts/	prompt-path	3156	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/phases/PHASE_10_Wealth_Map_and_Action_Board.md	prompt path under prompts/	prompt-path	1815	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/phases/PHASE_11_Internal_Workflow_and_Compliance_Pages.md	prompt path under prompts/	prompt-path	2701	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/phases/PHASE_12_Decisions_Evidence_and_Governance_Pages.md	prompt path under prompts/	prompt-path	3065	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/phases/PHASE_13_Communication_Export_Ops_and_Reference_Pages.md	prompt path under prompts/	prompt-path	3445	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/phases/PHASE_14_Workflow_Lifecycle_Integration.md	prompt path under prompts/	prompt-path	1553	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/phases/PHASE_15_Testing_Baseline.md	prompt path under prompts/	prompt-path	1465	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/phases/PHASE_16_Role_Aware_Permissions_and_Tenant_Isolation.md	prompt path under prompts/	prompt-path	1507	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/phases/PHASE_17_API_Data_Quality_and_Validation.md	prompt path under prompts/	prompt-path	1505	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/phases/PHASE_18_File_Export_Realism.md	prompt path under prompts/	prompt-path	1510	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/phases/PHASE_19_Hardening_and_Final_Handoff.md	prompt path under prompts/	prompt-path	1490	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
prompts/templates/CODEX_START_PHASE_MASTER_PROMPT.md	prompt path under prompts/	prompt-path	490	yes	no	no	dry-run	pre-md-trash-delete-v2-20260622-286f213
